method_id,canonical (Angenent-Mari 2020),canonical (Angenent-Mari 2020) :: evidence,BEACON 2024 (same-study view),BEACON 2024 (same-study view) :: evidence,VISTA mCherry,VISTA mCherry :: evidence,crowdsourced 100-regulator,crowdsourced 100-regulator :: evidence,SANDSTORM released designs,SANDSTORM released designs :: evidence
cnn60/tb_lambdarank,EXPOSED_TRAIN,5-fold protocol: train folds only; held-out folds are internal validation,SAME_STUDY_VIEW,BEACON is the same study's construct/label view; never independent (contract §4),INDEPENDENT,canonical-trained; VISTA labels never used,INDEPENDENT,exposure_check.json: sensor/trigger/30nt-prefix overlap 0 of 100 (crowd_external_* artifacts),SELECTION_CONDITIONED,released designs are description-only for every method (contract §9)
sandstorm/full_tblr,EXPOSED_TRAIN,5-fold protocol: train folds only; held-out folds are internal validation,SAME_STUDY_VIEW,BEACON is the same study's construct/label view; never independent (contract §4),INDEPENDENT,canonical-trained; VISTA labels never used,INDEPENDENT,exposure_check.json: sensor/trigger/30nt-prefix overlap 0 of 100 (crowd_external_* artifacts),SELECTION_CONDITIONED,released designs are description-only for every method (contract §9)
sandstorm/tb_mse,EXPOSED_TRAIN,5-fold protocol: train folds only; held-out folds are internal validation,SAME_STUDY_VIEW,BEACON is the same study's construct/label view; never independent (contract §4),INDEPENDENT,canonical-trained; VISTA labels never used,INDEPENDENT,exposure_check.json: sensor/trigger/30nt-prefix overlap 0 of 100 (crowd_external_* artifacts),SELECTION_CONDITIONED,released designs are description-only for every method (contract §9)
SANDSTORM-official,EXPOSED_TRAIN,identity reproduction trained on canonical folds (train folds only),INDEPENDENT,no exposure,INDEPENDENT,no exposure,INDEPENDENT,no exposure,OWN_STUDY,released designs are SANDSTORM's own; never its independent validation (contract §4)
Valeri-CNN-official,EXPOSED_TRAIN,official split reproduction; train splits only,INDEPENDENT,no exposure,INDEPENDENT,no exposure,INDEPENDENT,no exposure,INDEPENDENT,no exposure
beacon-mask/*,EXPOSED_TRAIN,canonical-trained masking runs,SAME_STUDY_VIEW,BEACON fixed-capacity masking on the same-study construct view (f0 analysis),INDEPENDENT,no exposure,INDEPENDENT,no exposure,INDEPENDENT,no exposure
rnaelectra/full_tblr,EXPOSED_TRAIN,5-fold protocol: train folds only; held-out folds are internal validation,SAME_STUDY_VIEW,BEACON is the same study's construct/label view; never independent (contract §4),INDEPENDENT,canonical-trained; VISTA labels never used,INDEPENDENT,exposure_check.json: sensor/trigger/30nt-prefix overlap 0 of 100 (crowd_external_* artifacts),SELECTION_CONDITIONED,released designs are description-only for every method (contract §9)
rnaelectra/tb_mse,EXPOSED_TRAIN,5-fold protocol: train folds only; held-out folds are internal validation,SAME_STUDY_VIEW,BEACON is the same study's construct/label view; never independent (contract §4),INDEPENDENT,canonical-trained; VISTA labels never used,INDEPENDENT,exposure_check.json: sensor/trigger/30nt-prefix overlap 0 of 100 (crowd_external_* artifacts),SELECTION_CONDITIONED,released designs are description-only for every method (contract §9)
vista-tsgen2,INDEPENDENT,designed on VISTA targets; not canonical,INDEPENDENT,designed on VISTA targets; not canonical,OWN_STUDY,official VISTA models scored on their own ranking workbook (identity conventions audited),INDEPENDENT,no exposure,INDEPENDENT,no exposure
vista-plsda-full,INDEPENDENT,designed on VISTA targets; not canonical,INDEPENDENT,designed on VISTA targets; not canonical,OWN_STUDY,official VISTA models scored on their own ranking workbook (identity conventions audited),INDEPENDENT,no exposure,INDEPENDENT,no exposure
transfer-cnn60/full_tblr,EXPOSED_TRAIN,5-fold protocol: train folds only; held-out folds are internal validation,SAME_STUDY_VIEW,BEACON is the same study's construct/label view; never independent (contract §4),INDEPENDENT,frozen on canonical before external scoring; zero VISTA labels read (vista_external_* artifacts),INDEPENDENT,exposure_check.json: sensor/trigger/30nt-prefix overlap 0 of 100 (crowd_external_* artifacts),SELECTION_CONDITIONED,released designs are description-only for every method (contract §9)
transfer-sandstorm/full_tblr,EXPOSED_TRAIN,5-fold protocol: train folds only; held-out folds are internal validation,SAME_STUDY_VIEW,BEACON is the same study's construct/label view; never independent (contract §4),INDEPENDENT,frozen on canonical before external scoring; zero VISTA labels read (vista_external_* artifacts),INDEPENDENT,exposure_check.json: sensor/trigger/30nt-prefix overlap 0 of 100 (crowd_external_* artifacts),SELECTION_CONDITIONED,released designs are description-only for every method (contract §9)
BEACON-B512,PENDING,"checkpoint blocked on network access; recorded as pending asset, not silently omitted",PENDING,"checkpoint blocked on network access; recorded as pending asset, not silently omitted",INDEPENDENT,pretrained on external corpora; not released for scoring yet (blocked),INDEPENDENT,pretrained on external corpora; not released for scoring yet (blocked),INDEPENDENT,pretrained on external corpora; not released for scoring yet (blocked)
SpliceBERT-MS1024,PENDING,"checkpoint blocked on network access; recorded as pending asset, not silently omitted",PENDING,"checkpoint blocked on network access; recorded as pending asset, not silently omitted",INDEPENDENT,pretrained on external corpora; not released for scoring yet (blocked),INDEPENDENT,pretrained on external corpora; not released for scoring yet (blocked),INDEPENDENT,pretrained on external corpora; not released for scoring yet (blocked)
RNA-FM,PENDING,"checkpoint blocked on network access; recorded as pending asset, not silently omitted",PENDING,"checkpoint blocked on network access; recorded as pending asset, not silently omitted",INDEPENDENT,pretrained on external corpora; not released for scoring yet (blocked),INDEPENDENT,pretrained on external corpora; not released for scoring yet (blocked),INDEPENDENT,pretrained on external corpora; not released for scoring yet (blocked)
UTR-LM-MRL,PENDING,"checkpoint blocked on network access; recorded as pending asset, not silently omitted",PENDING,"checkpoint blocked on network access; recorded as pending asset, not silently omitted",INDEPENDENT,pretrained on external corpora; not released for scoring yet (blocked),INDEPENDENT,pretrained on external corpora; not released for scoring yet (blocked),INDEPENDENT,pretrained on external corpora; not released for scoring yet (blocked)
